feature,mean_abs_shap
uniq_Opnd,0.040300708419926716
total_Opnd,0.03873761080299132
n,0.035258574408100346
b,0.03171654549538556
v,0.028074005983332293
loc,0.027718849558197565
lOCode,0.026520700373933503
total_Op,0.024212747496554922
i,0.0238083802486269
lOBlank,0.021002617004237237
d,0.01879559066758754
uniq_Op,0.016050923022783405
e,0.014629251821878046
l,0.012862840953202101
t,0.012852288031583028
iv(g),0.011218741127003481
lOComment,0.009755758922801143
branchCount,0.008285114710793165
v(g),0.00787392934953268
ev(g),0.005850472393049961
locCodeAndComment,0.005269230509739308
